"Statistic Label","Year","Sex","Citizenship","UNIT","VALUE"
"Estimated Immigration (Persons in April)","1998","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","3.3"
"Estimated Immigration (Persons in April)","1999","Both sexes","All Countries","Thousand","48.9"
"Estimated Immigration (Persons in April)","1999","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.9"
"Estimated Immigration (Persons in April)","1999","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","1999","Both sexes","United Kingdom","Thousand","8.2"
"Estimated Immigration (Persons in April)","1999","Both sexes","Ireland","Thousand","26.7"
"Estimated Immigration (Persons in April)","1999","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","7"
"Estimated Immigration (Persons in April)","1999","Male","All Countries","Thousand","24.5"
"Estimated Immigration (Persons in April)","1999","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3"
"Estimated Immigration (Persons in April)","1999","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","1999","Male","United Kingdom","Thousand","4.3"
"Estimated Immigration (Persons in April)","1999","Male","Ireland","Thousand","13.7"
"Estimated Immigration (Persons in April)","1999","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","3.6"
"Estimated Immigration (Persons in April)","1999","Female","All Countries","Thousand","24.4"
"Estimated Immigration (Persons in April)","1999","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.9"
"Estimated Immigration (Persons in April)","1999","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","1999","Female","United Kingdom","Thousand","3.9"
"Estimated Immigration (Persons in April)","1999","Female","Ireland","Thousand","13"
"Estimated Immigration (Persons in April)","1999","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","3.5"
"Estimated Immigration (Persons in April)","2000","Both sexes","All Countries","Thousand","52.6"
"Estimated Immigration (Persons in April)","2000","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","8.2"
"Estimated Immigration (Persons in April)","2000","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","2000","Both sexes","United Kingdom","Thousand","8.4"
"Estimated Immigration (Persons in April)","2000","Both sexes","Ireland","Thousand","24.8"
"Estimated Immigration (Persons in April)","2000","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","11.1"
"Estimated Immigration (Persons in April)","2000","Male","All Countries","Thousand","26.2"
"Estimated Immigration (Persons in April)","2000","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.9"
"Estimated Immigration (Persons in April)","2000","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","2000","Male","United Kingdom","Thousand","4.1"
"Estimated Immigration (Persons in April)","2000","Male","Ireland","Thousand","11.8"
"Estimated Immigration (Persons in April)","2000","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","6.4"
"Estimated Immigration (Persons in April)","2000","Female","All Countries","Thousand","26.4"
"Estimated Immigration (Persons in April)","2000","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.4"
"Estimated Immigration (Persons in April)","2000","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","2000","Female","United Kingdom","Thousand","4.3"
"Estimated Immigration (Persons in April)","2000","Female","Ireland","Thousand","13"
"Estimated Immigration (Persons in April)","2000","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","4.8"
"Estimated Immigration (Persons in April)","2001","Both sexes","All Countries","Thousand","59"
"Estimated Immigration (Persons in April)","2001","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.5"
"Estimated Immigration (Persons in April)","2001","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","2001","Both sexes","United Kingdom","Thousand","9"
"Estimated Immigration (Persons in April)","2001","Both sexes","Ireland","Thousand","26.3"
"Estimated Immigration (Persons in April)","2001","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","17.3"
"Estimated Immigration (Persons in April)","2001","Male","All Countries","Thousand","30.1"
"Estimated Immigration (Persons in April)","2001","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.1"
"Estimated Immigration (Persons in April)","2001","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","2001","Male","United Kingdom","Thousand","4.5"
"Estimated Immigration (Persons in April)","2001","Male","Ireland","Thousand","13.2"
"Estimated Immigration (Persons in April)","2001","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","9.3"
"Estimated Immigration (Persons in April)","2001","Female","All Countries","Thousand","29"
"Estimated Immigration (Persons in April)","2001","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.5"
"Estimated Immigration (Persons in April)","2001","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","2001","Female","United Kingdom","Thousand","4.5"
"Estimated Immigration (Persons in April)","2001","Female","Ireland","Thousand","13.1"
"Estimated Immigration (Persons in April)","2001","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","7.9"
"Estimated Immigration (Persons in April)","2002","Both sexes","All Countries","Thousand","66.9"
"Estimated Immigration (Persons in April)","2002","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","8.1"
"Estimated Immigration (Persons in April)","2002","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","2002","Both sexes","United Kingdom","Thousand","7.4"
"Estimated Immigration (Persons in April)","2002","Both sexes","Ireland","Thousand","27"
"Estimated Immigration (Persons in April)","2002","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","24.4"
"Estimated Immigration (Persons in April)","2002","Male","All Countries","Thousand","31.3"
"Estimated Immigration (Persons in April)","2002","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.1"
"Estimated Immigration (Persons in April)","2002","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","2002","Male","United Kingdom","Thousand","4.1"
"Estimated Immigration (Persons in April)","2002","Male","Ireland","Thousand","12.4"
"Estimated Immigration (Persons in April)","2002","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","11.7"
"Estimated Immigration (Persons in April)","2002","Female","All Countries","Thousand","35.6"
"Estimated Immigration (Persons in April)","2002","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.9"
"Estimated Immigration (Persons in April)","2002","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","2002","Female","United Kingdom","Thousand","3.3"
"Estimated Immigration (Persons in April)","2002","Female","Ireland","Thousand","14.6"
"Estimated Immigration (Persons in April)","2002","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","12.8"
"Estimated Immigration (Persons in April)","2003","Both sexes","All Countries","Thousand","60"
"Estimated Immigration (Persons in April)","2003","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","8.8"
"Estimated Immigration (Persons in April)","2003","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","2003","Both sexes","United Kingdom","Thousand","9.1"
"Estimated Immigration (Persons in April)","2003","Both sexes","Ireland","Thousand","17.6"
"Estimated Immigration (Persons in April)","2003","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","24.5"
"Estimated Immigration (Persons in April)","2003","Male","All Countries","Thousand","31.4"
"Estimated Immigration (Persons in April)","2003","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.1"
"Estimated Immigration (Persons in April)","2003","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","2003","Male","United Kingdom","Thousand","5"
"Estimated Immigration (Persons in April)","2003","Male","Ireland","Thousand","9.7"
"Estimated Immigration (Persons in April)","2003","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","12.6"
"Estimated Immigration (Persons in April)","2003","Female","All Countries","Thousand","28.6"
"Estimated Immigration (Persons in April)","2003","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.7"
"Estimated Immigration (Persons in April)","2003","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","2003","Female","United Kingdom","Thousand","4"
"Estimated Immigration (Persons in April)","2003","Female","Ireland","Thousand","7.9"
"Estimated Immigration (Persons in April)","2003","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","11.9"
"Estimated Immigration (Persons in April)","2004","Both sexes","All Countries","Thousand","58.5"
"Estimated Immigration (Persons in April)","2004","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","13.3"
"Estimated Immigration (Persons in April)","2004","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","2004","Both sexes","United Kingdom","Thousand","7.4"
"Estimated Immigration (Persons in April)","2004","Both sexes","Ireland","Thousand","16.7"
"Estimated Immigration (Persons in April)","2004","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","21.1"
"Estimated Immigration (Persons in April)","2004","Male","All Countries","Thousand","30.5"
"Estimated Immigration (Persons in April)","2004","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.9"
"Estimated Immigration (Persons in April)","2004","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","2004","Male","United Kingdom","Thousand","4.5"
"Estimated Immigration (Persons in April)","2004","Male","Ireland","Thousand","8.4"
"Estimated Immigration (Persons in April)","2004","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","10.7"
"Estimated Immigration (Persons in April)","2004","Female","All Countries","Thousand","28"
"Estimated Immigration (Persons in April)","2004","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.4"
"Estimated Immigration (Persons in April)","2004","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","2004","Female","United Kingdom","Thousand","2.9"
"Estimated Immigration (Persons in April)","2004","Female","Ireland","Thousand","8.2"
"Estimated Immigration (Persons in April)","2004","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","10.4"
"Estimated Immigration (Persons in April)","2005","Both sexes","All Countries","Thousand","84.6"
"Estimated Immigration (Persons in April)","2005","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","9.3"
"Estimated Immigration (Persons in April)","2005","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","34.1"
"Estimated Immigration (Persons in April)","2005","Both sexes","United Kingdom","Thousand","8.9"
"Estimated Immigration (Persons in April)","2005","Both sexes","Ireland","Thousand","18.5"
"Estimated Immigration (Persons in April)","2005","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","13.7"
"Estimated Immigration (Persons in April)","2005","Male","All Countries","Thousand","47.5"
"Estimated Immigration (Persons in April)","2005","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.8"
"Estimated Immigration (Persons in April)","2005","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","22.9"
"Estimated Immigration (Persons in April)","2005","Male","United Kingdom","Thousand","5.2"
"Estimated Immigration (Persons in April)","2005","Male","Ireland","Thousand","9.4"
"Estimated Immigration (Persons in April)","2005","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","6.1"
"Estimated Immigration (Persons in April)","2005","Female","All Countries","Thousand","37.1"
"Estimated Immigration (Persons in April)","2005","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.5"
"Estimated Immigration (Persons in April)","2005","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","11.2"
"Estimated Immigration (Persons in April)","2005","Female","United Kingdom","Thousand","3.7"
"Estimated Immigration (Persons in April)","2005","Female","Ireland","Thousand","9.1"
"Estimated Immigration (Persons in April)","2005","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","7.6"
"Estimated Immigration (Persons in April)","2006","Both sexes","All Countries","Thousand","107.8"
"Estimated Immigration (Persons in April)","2006","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","12.7"
"Estimated Immigration (Persons in April)","2006","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","49.9"
"Estimated Immigration (Persons in April)","2006","Both sexes","United Kingdom","Thousand","9.9"
"Estimated Immigration (Persons in April)","2006","Both sexes","Ireland","Thousand","18.9"
"Estimated Immigration (Persons in April)","2006","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","16.4"
"Estimated Immigration (Persons in April)","2006","Male","All Countries","Thousand","60.3"
"Estimated Immigration (Persons in April)","2006","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.4"
"Estimated Immigration (Persons in April)","2006","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","30.7"
"Estimated Immigration (Persons in April)","2006","Male","United Kingdom","Thousand","5.7"
"Estimated Immigration (Persons in April)","2006","Male","Ireland","Thousand","9.5"
"Estimated Immigration (Persons in April)","2006","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","8"
"Estimated Immigration (Persons in April)","2006","Female","All Countries","Thousand","47.5"
"Estimated Immigration (Persons in April)","2006","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.2"
"Estimated Immigration (Persons in April)","2006","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","19.2"
"Estimated Immigration (Persons in April)","2006","Female","United Kingdom","Thousand","4.2"
"Estimated Immigration (Persons in April)","2006","Female","Ireland","Thousand","9.4"
"Estimated Immigration (Persons in April)","2006","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","8.5"
"Estimated Immigration (Persons in April)","2007","Both sexes","All Countries","Thousand","151.1"
"Estimated Immigration (Persons in April)","2007","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","11.8"
"Estimated Immigration (Persons in April)","2007","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","85.3"
"Estimated Immigration (Persons in April)","2007","Both sexes","United Kingdom","Thousand","4.3"
"Estimated Immigration (Persons in April)","2007","Both sexes","Ireland","Thousand","30.7"
"Estimated Immigration (Persons in April)","2007","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","19"
"Estimated Immigration (Persons in April)","2007","Male","All Countries","Thousand","80"
"Estimated Immigration (Persons in April)","2007","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.7"
"Estimated Immigration (Persons in April)","2007","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","47.5"
"Estimated Immigration (Persons in April)","2007","Male","United Kingdom","Thousand","2.4"
"Estimated Immigration (Persons in April)","2007","Male","Ireland","Thousand","15.7"
"Estimated Immigration (Persons in April)","2007","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","9.6"
"Estimated Immigration (Persons in April)","2007","Female","All Countries","Thousand","71.1"
"Estimated Immigration (Persons in April)","2007","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","7.1"
"Estimated Immigration (Persons in April)","2007","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","37.8"
"Estimated Immigration (Persons in April)","2007","Female","United Kingdom","Thousand","1.9"
"Estimated Immigration (Persons in April)","2007","Female","Ireland","Thousand","15"
"Estimated Immigration (Persons in April)","2007","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","9.4"
"Estimated Immigration (Persons in April)","2008","Both sexes","All Countries","Thousand","113.5"
"Estimated Immigration (Persons in April)","2008","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","9.6"
"Estimated Immigration (Persons in April)","2008","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","54.7"
"Estimated Immigration (Persons in April)","2008","Both sexes","United Kingdom","Thousand","6.8"
"Estimated Immigration (Persons in April)","2008","Both sexes","Ireland","Thousand","23.8"
"Estimated Immigration (Persons in April)","2008","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","18.6"
"Estimated Immigration (Persons in April)","2008","Male","All Countries","Thousand","53.9"
"Estimated Immigration (Persons in April)","2008","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.9"
"Estimated Immigration (Persons in April)","2008","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","24.8"
"Estimated Immigration (Persons in April)","2008","Male","United Kingdom","Thousand","4.1"
"Estimated Immigration (Persons in April)","2008","Male","Ireland","Thousand","11.8"
"Estimated Immigration (Persons in April)","2008","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","9.4"
"Estimated Immigration (Persons in April)","2008","Female","All Countries","Thousand","59.5"
"Estimated Immigration (Persons in April)","2008","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.7"
"Estimated Immigration (Persons in April)","2008","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","29.9"
"Estimated Immigration (Persons in April)","2008","Female","United Kingdom","Thousand","2.7"
"Estimated Immigration (Persons in April)","2008","Female","Ireland","Thousand","12"
"Estimated Immigration (Persons in April)","2008","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","9.2"
"Estimated Immigration (Persons in April)","2009","Both sexes","All Countries","Thousand","73.7"
"Estimated Immigration (Persons in April)","2009","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","11.5"
"Estimated Immigration (Persons in April)","2009","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","21.1"
"Estimated Immigration (Persons in April)","2009","Both sexes","United Kingdom","Thousand","3.9"
"Estimated Immigration (Persons in April)","2009","Both sexes","Ireland","Thousand","23"
"Estimated Immigration (Persons in April)","2009","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","14.1"
"Estimated Immigration (Persons in April)","2009","Male","All Countries","Thousand","36.8"
"Estimated Immigration (Persons in April)","2009","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.7"
"Estimated Immigration (Persons in April)","2009","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","10.8"
"Estimated Immigration (Persons in April)","2009","Male","United Kingdom","Thousand","2.3"
"Estimated Immigration (Persons in April)","2009","Male","Ireland","Thousand","13"
"Estimated Immigration (Persons in April)","2009","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","7"
"Estimated Immigration (Persons in April)","2009","Female","All Countries","Thousand","36.8"
"Estimated Immigration (Persons in April)","2009","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","7.9"
"Estimated Immigration (Persons in April)","2009","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","10.3"
"Estimated Immigration (Persons in April)","2009","Female","United Kingdom","Thousand","1.7"
"Estimated Immigration (Persons in April)","2009","Female","Ireland","Thousand","10"
"Estimated Immigration (Persons in April)","2009","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","7.1"
"Estimated Immigration (Persons in April)","2010","Both sexes","All Countries","Thousand","41.8"
"Estimated Immigration (Persons in April)","2010","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.2"
"Estimated Immigration (Persons in April)","2010","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","9.3"
"Estimated Immigration (Persons in April)","2010","Both sexes","United Kingdom","Thousand","2.5"
"Estimated Immigration (Persons in April)","2010","Both sexes","Ireland","Thousand","17.9"
"Estimated Immigration (Persons in April)","2010","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","6"
"Estimated Immigration (Persons in April)","2010","Male","All Countries","Thousand","20.4"
"Estimated Immigration (Persons in April)","2010","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.6"
"Estimated Immigration (Persons in April)","2010","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.6"
"Estimated Immigration (Persons in April)","2010","Male","United Kingdom","Thousand","1.4"
"Estimated Immigration (Persons in April)","2010","Male","Ireland","Thousand","9"
"Estimated Immigration (Persons in April)","2010","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","2.8"
"Estimated Immigration (Persons in April)","2010","Female","All Countries","Thousand","21.4"
"Estimated Immigration (Persons in April)","2010","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.6"
"Estimated Immigration (Persons in April)","2010","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.6"
"Estimated Immigration (Persons in April)","2010","Female","United Kingdom","Thousand","1.1"
"Estimated Immigration (Persons in April)","2010","Female","Ireland","Thousand","8.9"
"Estimated Immigration (Persons in April)","2010","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","3.2"
"Estimated Immigration (Persons in April)","2011","Both sexes","All Countries","Thousand","53.3"
"Estimated Immigration (Persons in April)","2011","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","7.1"
"Estimated Immigration (Persons in April)","2011","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","10.1"
"Estimated Immigration (Persons in April)","2011","Both sexes","United Kingdom","Thousand","4.1"
"Estimated Immigration (Persons in April)","2011","Both sexes","Ireland","Thousand","19.6"
"Estimated Immigration (Persons in April)","2011","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","12.4"
"Estimated Immigration (Persons in April)","2011","Male","All Countries","Thousand","26"
"Estimated Immigration (Persons in April)","2011","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.4"
"Estimated Immigration (Persons in April)","2011","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.6"
"Estimated Immigration (Persons in April)","2011","Male","United Kingdom","Thousand","2.2"
"Estimated Immigration (Persons in April)","2011","Male","Ireland","Thousand","9.9"
