"STATISTIC Label","Year","Single Year of Age","Sex","UNIT","VALUE"
"Population estimates from 1926","1926","13 years","Both sexes","Number","58645"
"Population estimates from 1926","1926","13 years","Male","Number","29806"
"Population estimates from 1926","1926","13 years","Female","Number","28839"
"Population estimates from 1926","1926","14 years","Both sexes","Number","60802"
"Population estimates from 1926","1926","14 years","Male","Number","31160"
"Population estimates from 1926","1926","14 years","Female","Number","29642"
"Population estimates from 1926","1926","15 years","Both sexes","Number","58983"
"Population estimates from 1926","1926","15 years","Male","Number","30056"
"Population estimates from 1926","1926","15 years","Female","Number","28927"
"Population estimates from 1926","1926","16 years","Both sexes","Number","59698"
"Population estimates from 1926","1926","16 years","Male","Number","30131"
"Population estimates from 1926","1926","16 years","Female","Number","29567"
"Population estimates from 1926","1926","17 years","Both sexes","Number","56393"
"Population estimates from 1926","1926","17 years","Male","Number","28511"
"Population estimates from 1926","1926","17 years","Female","Number","27882"
"Population estimates from 1926","1926","18 years","Both sexes","Number","57340"
"Population estimates from 1926","1926","18 years","Male","Number","29086"
"Population estimates from 1926","1926","18 years","Female","Number","28254"
"Population estimates from 1926","1926","19 years","Both sexes","Number","53773"
"Population estimates from 1926","1926","19 years","Male","Number","28263"
"Population estimates from 1926","1926","19 years","Female","Number","25510"
"Population estimates from 1926","1926","20 years","Both sexes","Number","54015"
"Population estimates from 1926","1926","20 years","Male","Number","28127"
"Population estimates from 1926","1926","20 years","Female","Number","25888"
"Population estimates from 1926","1926","21 years","Both sexes","Number","48271"
"Population estimates from 1926","1926","21 years","Male","Number","25780"
"Population estimates from 1926","1926","21 years","Female","Number","22491"
"Population estimates from 1926","1926","22 years","Both sexes","Number","48370"
"Population estimates from 1926","1926","22 years","Male","Number","25224"
"Population estimates from 1926","1926","22 years","Female","Number","23146"
"Population estimates from 1926","1926","23 years","Both sexes","Number","44596"
"Population estimates from 1926","1926","23 years","Male","Number","22905"
"Population estimates from 1926","1926","23 years","Female","Number","21691"
"Population estimates from 1926","1926","24 years","Both sexes","Number","44979"
"Population estimates from 1926","1926","24 years","Male","Number","22482"
"Population estimates from 1926","1926","24 years","Female","Number","22497"
"Population estimates from 1926","1926","25 years","Both sexes","Number","46445"
"Population estimates from 1926","1926","25 years","Male","Number","23344"
"Population estimates from 1926","1926","25 years","Female","Number","23101"
"Population estimates from 1926","1926","26 years","Both sexes","Number","46107"
"Population estimates from 1926","1926","26 years","Male","Number","22809"
"Population estimates from 1926","1926","26 years","Female","Number","23298"
"Population estimates from 1926","1926","27 years","Both sexes","Number","41050"
"Population estimates from 1926","1926","27 years","Male","Number","20326"
"Population estimates from 1926","1926","27 years","Female","Number","20724"
"Population estimates from 1926","1926","28 years","Both sexes","Number","45195"
"Population estimates from 1926","1926","28 years","Male","Number","22166"
"Population estimates from 1926","1926","28 years","Female","Number","23029"
"Population estimates from 1926","1926","29 years","Both sexes","Number","36604"
"Population estimates from 1926","1926","29 years","Male","Number","18001"
"Population estimates from 1926","1926","29 years","Female","Number","18603"
"Population estimates from 1926","1926","30 years","Both sexes","Number","53628"
"Population estimates from 1926","1926","30 years","Male","Number","26271"
"Population estimates from 1926","1926","30 years","Female","Number","27357"
"Population estimates from 1926","1926","31 years","Both sexes","Number","28054"
"Population estimates from 1926","1926","31 years","Male","Number","14666"
"Population estimates from 1926","1926","31 years","Female","Number","13388"
"Population estimates from 1926","1926","32 years","Both sexes","Number","37027"
"Population estimates from 1926","1926","32 years","Male","Number","18615"
"Population estimates from 1926","1926","32 years","Female","Number","18412"
"Population estimates from 1926","1926","33 years","Both sexes","Number","31156"
"Population estimates from 1926","1926","33 years","Male","Number","15937"
"Population estimates from 1926","1926","33 years","Female","Number","15219"
"Population estimates from 1926","1926","34 years","Both sexes","Number","33435"
"Population estimates from 1926","1926","34 years","Male","Number","17013"
"Population estimates from 1926","1926","34 years","Female","Number","16422"
"Population estimates from 1926","1926","35 years","Both sexes","Number","40392"
"Population estimates from 1926","1926","35 years","Male","Number","20502"
"Population estimates from 1926","1926","35 years","Female","Number","19890"
"Population estimates from 1926","1926","36 years","Both sexes","Number","36880"
"Population estimates from 1926","1926","36 years","Male","Number","18353"
"Population estimates from 1926","1926","36 years","Female","Number","18527"
"Population estimates from 1926","1926","37 years","Both sexes","Number","29766"
"Population estimates from 1926","1926","37 years","Male","Number","14983"
"Population estimates from 1926","1926","37 years","Female","Number","14783"
"Population estimates from 1926","1926","38 years","Both sexes","Number","38959"
"Population estimates from 1926","1926","38 years","Male","Number","18961"
"Population estimates from 1926","1926","38 years","Female","Number","19998"
"Population estimates from 1926","1926","39 years","Both sexes","Number","29762"
"Population estimates from 1926","1926","39 years","Male","Number","14550"
"Population estimates from 1926","1926","39 years","Female","Number","15212"
"Population estimates from 1926","1926","40 years","Both sexes","Number","56694"
"Population estimates from 1926","1926","40 years","Male","Number","28589"
"Population estimates from 1926","1926","40 years","Female","Number","28105"
"Population estimates from 1926","1926","41 years","Both sexes","Number","22112"
"Population estimates from 1926","1926","41 years","Male","Number","11702"
"Population estimates from 1926","1926","41 years","Female","Number","10410"
"Population estimates from 1926","1926","42 years","Both sexes","Number","33230"
"Population estimates from 1926","1926","42 years","Male","Number","16819"
"Population estimates from 1926","1926","42 years","Female","Number","16411"
"Population estimates from 1926","1926","43 years","Both sexes","Number","28341"
"Population estimates from 1926","1926","43 years","Male","Number","14276"
"Population estimates from 1926","1926","43 years","Female","Number","14065"
"Population estimates from 1926","1926","44 years","Both sexes","Number","28708"
"Population estimates from 1926","1926","44 years","Male","Number","14664"
"Population estimates from 1926","1926","44 years","Female","Number","14044"
"Population estimates from 1926","1926","45 years","Both sexes","Number","44301"
"Population estimates from 1926","1926","45 years","Male","Number","23470"
"Population estimates from 1926","1926","45 years","Female","Number","20831"
"Population estimates from 1926","1926","46 years","Both sexes","Number","33187"
"Population estimates from 1926","1926","46 years","Male","Number","16884"
"Population estimates from 1926","1926","46 years","Female","Number","16303"
"Population estimates from 1926","1926","47 years","Both sexes","Number","28578"
"Population estimates from 1926","1926","47 years","Male","Number","14750"
"Population estimates from 1926","1926","47 years","Female","Number","13828"
"Population estimates from 1926","1926","48 years","Both sexes","Number","35749"
"Population estimates from 1926","1926","48 years","Male","Number","18068"
"Population estimates from 1926","1926","48 years","Female","Number","17681"
"Population estimates from 1926","1926","49 years","Both sexes","Number","27078"
"Population estimates from 1926","1926","49 years","Male","Number","13838"
"Population estimates from 1926","1926","49 years","Female","Number","13240"
"Population estimates from 1926","1926","50 years","Both sexes","Number","60003"
"Population estimates from 1926","1926","50 years","Male","Number","31170"
"Population estimates from 1926","1926","50 years","Female","Number","28833"
"Population estimates from 1926","1926","51 years","Both sexes","Number","20405"
"Population estimates from 1926","1926","51 years","Male","Number","11135"
"Population estimates from 1926","1926","51 years","Female","Number","9270"
"Population estimates from 1926","1926","52 years","Both sexes","Number","30041"
"Population estimates from 1926","1926","52 years","Male","Number","15904"
"Population estimates from 1926","1926","52 years","Female","Number","14137"
"Population estimates from 1926","1926","53 years","Both sexes","Number","24451"
"Population estimates from 1926","1926","53 years","Male","Number","12959"
"Population estimates from 1926","1926","53 years","Female","Number","11492"
"Population estimates from 1926","1926","54 years","Both sexes","Number","27818"
"Population estimates from 1926","1926","54 years","Male","Number","14480"
"Population estimates from 1926","1926","54 years","Female","Number","13338"
"Population estimates from 1926","1926","55 years","Both sexes","Number","32198"
"Population estimates from 1926","1926","55 years","Male","Number","17606"
"Population estimates from 1926","1926","55 years","Female","Number","14592"
"Population estimates from 1926","1926","56 years","Both sexes","Number","29895"
"Population estimates from 1926","1926","56 years","Male","Number","15826"
"Population estimates from 1926","1926","56 years","Female","Number","14069"
"Population estimates from 1926","1926","57 years","Both sexes","Number","19904"
"Population estimates from 1926","1926","57 years","Male","Number","10540"
"Population estimates from 1926","1926","57 years","Female","Number","9364"
"Population estimates from 1926","1926","58 years","Both sexes","Number","25520"
"Population estimates from 1926","1926","58 years","Male","Number","13508"
"Population estimates from 1926","1926","58 years","Female","Number","12012"
"Population estimates from 1926","1926","59 years","Both sexes","Number","18196"
"Population estimates from 1926","1926","59 years","Male","Number","9641"
"Population estimates from 1926","1926","59 years","Female","Number","8555"
"Population estimates from 1926","1926","60 years","Both sexes","Number","39785"
"Population estimates from 1926","1926","60 years","Male","Number","20141"
"Population estimates from 1926","1926","60 years","Female","Number","19644"
"Population estimates from 1926","1926","61 years","Both sexes","Number","12779"
"Population estimates from 1926","1926","61 years","Male","Number","6720"
"Population estimates from 1926","1926","61 years","Female","Number","6059"
"Population estimates from 1926","1926","62 years","Both sexes","Number","18016"
"Population estimates from 1926","1926","62 years","Male","Number","9162"
"Population estimates from 1926","1926","62 years","Female","Number","8854"
"Population estimates from 1926","1926","63 years","Both sexes","Number","16167"
"Population estimates from 1926","1926","63 years","Male","Number","8212"
"Population estimates from 1926","1926","63 years","Female","Number","7955"
"Population estimates from 1926","1926","64 years","Both sexes","Number","18399"
"Population estimates from 1926","1926","64 years","Male","Number","9436"
"Population estimates from 1926","1926","64 years","Female","Number","8963"
"Population estimates from 1926","1926","65 years","Both sexes","Number","24561"
"Population estimates from 1926","1926","65 years","Male","Number","12619"
"Population estimates from 1926","1926","65 years","Female","Number","11942"
"Population estimates from 1926","1926","66 years","Both sexes","Number","18220"
"Population estimates from 1926","1926","66 years","Male","Number","9348"
"Population estimates from 1926","1926","66 years","Female","Number","8872"
"Population estimates from 1926","1926","67 years","Both sexes","Number","16235"
"Population estimates from 1926","1926","67 years","Male","Number","8316"
"Population estimates from 1926","1926","67 years","Female","Number","7919"
"Population estimates from 1926","1926","68 years","Both sexes","Number","22263"
"Population estimates from 1926","1926","68 years","Male","Number","11273"
"Population estimates from 1926","1926","68 years","Female","Number","10990"
"Population estimates from 1926","1926","69 years","Both sexes","Number","19933"
"Population estimates from 1926","1926","69 years","Male","Number","9943"
"Population estimates from 1926","1926","69 years","Female","Number","9990"
"Population estimates from 1926","1926","70 years","Both sexes","Number","24252"
"Population estimates from 1926","1926","70 years","Male","Number","11184"
"Population estimates from 1926","1926","70 years","Female","Number","13068"
"Population estimates from 1926","1926","71 years","Both sexes","Number","13898"
"Population estimates from 1926","1926","71 years","Male","Number","6504"
"Population estimates from 1926","1926","71 years","Female","Number","7394"
"Population estimates from 1926","1926","72 years","Both sexes","Number","16703"
"Population estimates from 1926","1926","72 years","Male","Number","7437"
"Population estimates from 1926","1926","72 years","Female","Number","9266"
"Population estimates from 1926","1926","73 years","Both sexes","Number","14301"
"Population estimates from 1926","1926","73 years","Male","Number","6549"
"Population estimates from 1926","1926","73 years","Female","Number","7752"
"Population estimates from 1926","1926","74 years","Both sexes","Number","13092"
"Population estimates from 1926","1926","74 years","Male","Number","5811"
"Population estimates from 1926","1926","74 years","Female","Number","7281"
"Population estimates from 1926","1926","75 years","Both sexes","Number","13729"
"Population estimates from 1926","1926","75 years","Male","Number","6298"
"Population estimates from 1926","1926","75 years","Female","Number","7431"
"Population estimates from 1926","1926","76 years","Both sexes","Number","11282"
"Population estimates from 1926","1926","76 years","Male","Number","5048"
"Population estimates from 1926","1926","76 years","Female","Number","6234"
"Population estimates from 1926","1926","77 years","Both sexes","Number","7371"
"Population estimates from 1926","1926","77 years","Male","Number","3364"
"Population estimates from 1926","1926","77 years","Female","Number","4007"
"Population estimates from 1926","1926","78 years","Both sexes","Number","8056"
"Population estimates from 1926","1926","78 years","Male","Number","3666"
"Population estimates from 1926","1926","78 years","Female","Number","4390"
"Population estimates from 1926","1926","79 years","Both sexes","Number","5529"
"Population estimates from 1926","1926","79 years","Male","Number","2550"
"Population estimates from 1926","1926","79 years","Female","Number","2979"
"Population estimates from 1926","1926","80 years","Both sexes","Number","10026"
"Population estimates from 1926","1926","80 years","Male","Number","4312"
"Population estimates from 1926","1926","80 years","Female","Number","5714"
"Population estimates from 1926","1926","81 years","Both sexes","Number","4156"
"Population estimates from 1926","1926","81 years","Male","Number","1916"
"Population estimates from 1926","1926","81 years","Female","Number","2240"
"Population estimates from 1926","1926","82 years","Both sexes","Number","5036"
"Population estimates from 1926","1926","82 years","Male","Number","2197"
"Population estimates from 1926","1926","82 years","Female","Number","2839"
"Population estimates from 1926","1926","83 years","Both sexes","Number","3692"
"Population estimates from 1926","1926","83 years","Male","Number","1678"
"Population estimates from 1926","1926","83 years","Female","Number","2014"
"Population estimates from 1926","1926","84 years","Both sexes","Number","4487"
"Population estimates from 1926","1926","84 years","Male","Number","1979"
"Population estimates from 1926","1926","84 years","Female","Number","2508"
"Population estimates from 1926","1926","85 years","Both sexes","Number","3421"
"Population estimates from 1926","1926","85 years","Male","Number","1573"
"Population estimates from 1926","1926","85 years","Female","Number","1848"
"Population estimates from 1926","1926","86 years","Both sexes","Number","3205"
"Population estimates from 1926","1926","86 years","Male","Number","1429"
"Population estimates from 1926","1926","86 years","Female","Number","1776"
"Population estimates from 1926","1926","87 years","Both sexes","Number","2243"
"Population estimates from 1926","1926","87 years","Male","Number","989"
"Population estimates from 1926","1926","87 years","Female","Number","1254"
"Population estimates from 1926","1926","88 years","Both sexes","Number","1516"
"Population estimates from 1926","1926","88 years","Male","Number","646"
"Population estimates from 1926","1926","88 years","Female","Number","870"
"Population estimates from 1926","1926","89 years","Both sexes","Number","910"
"Population estimates from 1926","1926","89 years","Male","Number","407"
"Population estimates from 1926","1926","89 years","Female","Number","503"
"Population estimates from 1926","1926","90 years","Both sexes","Number","1348"
"Population estimates from 1926","1926","90 years","Male","Number","559"
"Population estimates from 1926","1926","90 years","Female","Number","789"
"Population estimates from 1926","1926","91 years","Both sexes","Number","398"
"Population estimates from 1926","1926","91 years","Male","Number","176"
"Population estimates from 1926","1926","91 years","Female","Number","222"
"Population estimates from 1926","1926","92 years","Both sexes","Number","430"
"Population estimates from 1926","1926","92 years","Male","Number","188"
"Population estimates from 1926","1926","92 years","Female","Number","242"
"Population estimates from 1926","1926","93 years","Both sexes","Number","286"
"Population estimates from 1926","1926","93 years","Male","Number","139"
"Population estimates from 1926","1926","93 years","Female","Number","147"
"Population estimates from 1926","1926","94 years","Both sexes","Number","277"
"Population estimates from 1926","1926","94 years","Male","Number","121"
"Population estimates from 1926","1926","94 years","Female","Number","156"
"Population estimates from 1926","1926","95 years","Both sexes","Number","244"
"Population estimates from 1926","1926","95 years","Male","Number","114"
"Population estimates from 1926","1926","95 years","Female","Number","130"
"Population estimates from 1926","1926","96 years","Both sexes","Number","187"
"Population estimates from 1926","1926","96 years","Male","Number","82"
"Population estimates from 1926","1926","96 years","Female","Number","105"
"Population estimates from 1926","1926","97 years","Both sexes","Number","110"
"Population estimates from 1926","1926","97 years","Male","Number","50"
"Population estimates from 1926","1926","97 years","Female","Number","60"
"Population estimates from 1926","1926","98 years","Both sexes","Number","105"
"Population estimates from 1926","1926","98 years","Male","Number","49"
"Population estimates from 1926","1926","98 years","Female","Number","56"
"Population estimates from 1926","1926","99 years and over","Both sexes","Number","178"
"Population estimates from 1926","1926","99 years and over","Male","Number","62"
"Population estimates from 1926","1926","99 years and over","Female","Number","116"
"Population estimates from 1926","1936","All ages","Both sexes","Number","2968420"
"Population estimates from 1926","1936","All ages","Male","Number","1520454"
"Population estimates from 1926","1936","All ages","Female","Number","1447966"
"Population estimates from 1926","1936","Under 1 year","Both sexes","Number","53606"
"Population estimates from 1926","1936","Under 1 year","Male","Number","27152"
"Population estimates from 1926","1936","Under 1 year","Female","Number","26454"
"Population estimates from 1926","1936","1 year","Both sexes","Number","53495"
"Population estimates from 1926","1936","1 year","Male","Number","27228"
"Population estimates from 1926","1936","1 year","Female","Number","26267"
"Population estimates from 1926","1936","2 years","Both sexes","Number","54394"
"Population estimates from 1926","1936","2 years","Male","Number","27664"
"Population estimates from 1926","1936","2 years","Female","Number","26730"
"Population estimates from 1926","1936","3 years","Both sexes","Number","53015"
"Population estimates from 1926","1936","3 years","Male","Number","26934"
"Population estimates from 1926","1936","3 years","Female","Number","26081"
"Population estimates from 1926","1936","4 years","Both sexes","Number","53756"
"Population estimates from 1926","1936","4 years","Male","Number","27387"
"Population estimates from 1926","1936","4 years","Female","Number","26369"
"Population estimates from 1926","1936","5 years","Both sexes","Number","54364"
"Population estimates from 1926","1936","5 years","Male","Number","27598"
"Population estimates from 1926","1936","5 years","Female","Number","26766"
"Population estimates from 1926","1936","6 years","Both sexes","Number","53302"
"Population estimates from 1926","1936","6 years","Male","Number","27063"
"Population estimates from 1926","1936","6 years","Female","Number","26239"
"Population estimates from 1926","1936","7 years","Both sexes","Number","53415"
"Population estimates from 1926","1936","7 years","Male","Number","27067"
"Population estimates from 1926","1936","7 years","Female","Number","26348"
"Population estimates from 1926","1936","8 years","Both sexes","Number","54105"
"Population estimates from 1926","1936","8 years","Male","Number","27484"
"Population estimates from 1926","1936","8 years","Female","Number","26621"
"Population estimates from 1926","1936","9 years","Both sexes","Number","54159"
"Population estimates from 1926","1936","9 years","Male","Number","27136"
"Population estimates from 1926","1936","9 years","Female","Number","27023"
"Population estimates from 1926","1936","10 years","Both sexes","Number","55553"
"Population estimates from 1926","1936","10 years","Male","Number","28195"
"Population estimates from 1926","1936","10 years","Female","Number","27358"
"Population estimates from 1926","1936","11 years","Both sexes","Number","55499"
"Population estimates from 1926","1936","11 years","Male","Number","28143"
"Population estimates from 1926","1936","11 years","Female","Number","27356"
"Population estimates from 1926","1936","12 years","Both sexes","Number","57179"
"Population estimates from 1926","1936","12 years","Male","Number","29109"
"Population estimates from 1926","1936","12 years","Female","Number","28070"
"Population estimates from 1926","1936","13 years","Both sexes","Number","57059"
"Population estimates from 1926","1936","13 years","Male","Number","28979"
"Population estimates from 1926","1936","13 years","Female","Number","28080"
"Population estimates from 1926","1936","14 years","Both sexes","Number","57493"
"Population estimates from 1926","1936","14 years","Male","Number","29294"
"Population estimates from 1926","1936","14 years","Female","Number","28199"
"Population estimates from 1926","1936","15 years","Both sexes","Number","57613"
"Population estimates from 1926","1936","15 years","Male","Number","29344"
"Population estimates from 1926","1936","15 years","Female","Number","28269"
"Population estimates from 1926","1936","16 years","Both sexes","Number","56864"
"Population estimates from 1926","1936","16 years","Male","Number","29011"
"Population estimates from 1926","1936","16 years","Female","Number","27853"
"Population estimates from 1926","1936","17 years","Both sexes","Number","52275"
"Population estimates from 1926","1936","17 years","Male","Number","26584"
"Population estimates from 1926","1936","17 years","Female","Number","25691"
"Population estimates from 1926","1936","18 years","Both sexes","Number","51180"
"Population estimates from 1926","1936","18 years","Male","Number","26549"
"Population estimates from 1926","1936","18 years","Female","Number","24631"
"Population estimates from 1926","1936","19 years","Both sexes","Number","50394"
"Population estimates from 1926","1936","19 years","Male","Number","26624"
"Population estimates from 1926","1936","19 years","Female","Number","23770"
"Population estimates from 1926","1936","20 years","Both sexes","Number","50212"
"Population estimates from 1926","1936","20 years","Male","Number","26562"
"Population estimates from 1926","1936","20 years","Female","Number","23650"
"Population estimates from 1926","1936","21 years","Both sexes","Number","52433"
"Population estimates from 1926","1936","21 years","Male","Number","27809"
"Population estimates from 1926","1936","21 years","Female","Number","24624"
"Population estimates from 1926","1936","22 years","Both sexes","Number","52654"
"Population estimates from 1926","1936","22 years","Male","Number","27700"
"Population estimates from 1926","1936","22 years","Female","Number","24954"
"Population estimates from 1926","1936","23 years","Both sexes","Number","49526"
"Population estimates from 1926","1936","23 years","Male","Number","26273"
"Population estimates from 1926","1936","23 years","Female","Number","23253"
"Population estimates from 1926","1936","24 years","Both sexes","Number","49688"
"Population estimates from 1926","1936","24 years","Male","Number","26336"
"Population estimates from 1926","1936","24 years","Female","Number","23352"
"Population estimates from 1926","1936","25 years","Both sexes","Number","46872"
"Population estimates from 1926","1936","25 years","Male","Number","24775"
"Population estimates from 1926","1936","25 years","Female","Number","22097"
"Population estimates from 1926","1936","26 years","Both sexes","Number","45819"
"Population estimates from 1926","1936","26 years","Male","Number","24246"
"Population estimates from 1926","1936","26 years","Female","Number","21573"
"Population estimates from 1926","1936","27 years","Both sexes","Number","42036"
"Population estimates from 1926","1936","27 years","Male","Number","22151"
"Population estimates from 1926","1936","27 years","Female","Number","19885"
"Population estimates from 1926","1936","28 years","Both sexes","Number","43590"
"Population estimates from 1926","1936","28 years","Male","Number","22260"
"Population estimates from 1926","1936","28 years","Female","Number","21330"
"Population estimates from 1926","1936","29 years","Both sexes","Number","38468"
"Population estimates from 1926","1936","29 years","Male","Number","19893"
"Population estimates from 1926","1936","29 years","Female","Number","18575"
"Population estimates from 1926","1936","30 years","Both sexes","Number","44368"
"Population estimates from 1926","1936","30 years","Male","Number","22324"
"Population estimates from 1926","1936","30 years","Female","Number","22044"
"Population estimates from 1926","1936","31 years","Both sexes","Number","31356"
"Population estimates from 1926","1936","31 years","Male","Number","16598"
"Population estimates from 1926","1936","31 years","Female","Number","14758"
"Population estimates from 1926","1936","32 years","Both sexes","Number","38131"
"Population estimates from 1926","1936","32 years","Male","Number","19535"
"Population estimates from 1926","1936","32 years","Female","Number","18596"
"Population estimates from 1926","1936","33 years","Both sexes","Number","33707"
"Population estimates from 1926","1936","33 years","Male","Number","17471"
"Population estimates from 1926","1936","33 years","Female","Number","16236"
"Population estimates from 1926","1936","34 years","Both sexes","Number","35722"
"Population estimates from 1926","1936","34 years","Male","Number","18150"
"Population estimates from 1926","1936","34 years","Female","Number","17572"
"Population estimates from 1926","1936","35 years","Both sexes","Number","42171"
"Population estimates from 1926","1936","35 years","Male","Number","21693"
"Population estimates from 1926","1936","35 years","Female","Number","20478"
"Population estimates from 1926","1936","36 years","Both sexes","Number","40738"
"Population estimates from 1926","1936","36 years","Male","Number","20350"
"Population estimates from 1926","1936","36 years","Female","Number","20388"
"Population estimates from 1926","1936","37 years","Both sexes","Number","34083"
"Population estimates from 1926","1936","37 years","Male","Number","17272"
"Population estimates from 1926","1936","37 years","Female","Number","16811"
"Population estimates from 1926","1936","38 years","Both sexes","Number","39905"
"Population estimates from 1926","1936","38 years","Male","Number","19740"
"Population estimates from 1926","1936","38 years","Female","Number","20165"
"Population estimates from 1926","1936","39 years","Both sexes","Number","35523"
"Population estimates from 1926","1936","39 years","Male","Number","17728"
"Population estimates from 1926","1936","39 years","Female","Number","17795"
"Population estimates from 1926","1936","40 years","Both sexes","Number","44409"
"Population estimates from 1926","1936","40 years","Male","Number","22490"
"Population estimates from 1926","1936","40 years","Female","Number","21919"
"Population estimates from 1926","1936","41 years","Both sexes","Number","27382"
"Population estimates from 1926","1936","41 years","Male","Number","14699"
"Population estimates from 1926","1936","41 years","Female","Number","12683"
"Population estimates from 1926","1936","42 years","Both sexes","Number","33805"
"Population estimates from 1926","1936","42 years","Male","Number","17221"
"Population estimates from 1926","1936","42 years","Female","Number","16584"
"Population estimates from 1926","1936","43 years","Both sexes","Number","28929"
"Population estimates from 1926","1936","43 years","Male","Number","14738"
"Population estimates from 1926","1936","43 years","Female","Number","14191"
"Population estimates from 1926","1936","44 years","Both sexes","Number","28380"
"Population estimates from 1926","1936","44 years","Male","Number","14593"
"Population estimates from 1926","1936","44 years","Female","Number","13787"
"Population estimates from 1926","1936","45 years","Both sexes","Number","35927"
"Population estimates from 1926","1936","45 years","Male","Number","18840"
"Population estimates from 1926","1936","45 years","Female","Number","17087"
"Population estimates from 1926","1936","46 years","Both sexes","Number","30262"
"Population estimates from 1926","1936","46 years","Male","Number","15681"
"Population estimates from 1926","1936","46 years","Female","Number","14581"
"Population estimates from 1926","1936","47 years","Both sexes","Number","28471"
"Population estimates from 1926","1936","47 years","Male","Number","14630"
"Population estimates from 1926","1936","47 years","Female","Number","13841"
"Population estimates from 1926","1936","48 years","Both sexes","Number","33242"
"Population estimates from 1926","1936","48 years","Male","Number","16661"
"Population estimates from 1926","1936","48 years","Female","Number","16581"
"Population estimates from 1926","1936","49 years","Both sexes","Number","28681"
"Population estimates from 1926","1936","49 years","Male","Number","14695"
"Population estimates from 1926","1936","49 years","Female","Number","13986"
"Population estimates from 1926","1936","50 years","Both sexes","Number","41465"
"Population estimates from 1926","1936","50 years","Male","Number","21168"
"Population estimates from 1926","1936","50 years","Female","Number","20297"
"Population estimates from 1926","1936","51 years","Both sexes","Number","23543"
"Population estimates from 1926","1936","51 years","Male","Number","12650"
"Population estimates from 1926","1936","51 years","Female","Number","10893"
"Population estimates from 1926","1936","52 years","Both sexes","Number","30133"
"Population estimates from 1926","1936","52 years","Male","Number","15492"
"Population estimates from 1926","1936","52 years","Female","Number","14641"
"Population estimates from 1926","1936","53 years","Both sexes","Number","26987"
"Population estimates from 1926","1936","53 years","Male","Number","13854"
"Population estimates from 1926","1936","53 years","Female","Number","13133"
"Population estimates from 1926","1936","54 years","Both sexes","Number","30579"
"Population estimates from 1926","1936","54 years","Male","Number","15517"
"Population estimates from 1926","1936","54 years","Female","Number","15062"
"Population estimates from 1926","1936","55 years","Both sexes","Number","30651"
"Population estimates from 1926","1936","55 years","Male","Number","16414"
"Population estimates from 1926","1936","55 years","Female","Number","14237"
"Population estimates from 1926","1936","56 years","Both sexes","Number","31806"
"Population estimates from 1926","1936","56 years","Male","Number","16628"
"Population estimates from 1926","1936","56 years","Female","Number","15178"
"Population estimates from 1926","1936","57 years","Both sexes","Number","24939"
"Population estimates from 1926","1936","57 years","Male","Number","12921"
"Population estimates from 1926","1936","57 years","Female","Number","12018"
